lig,ulke,takim,sehir
D2,GER,Hannover,Hannover
D2,GER,Hansa Rostock,Rostock
D2,GER,Heidenheim,Heidenheim an der Brenz
D2,GER,Hertha,Berlin
D2,GER,Holstein Kiel,Kiel
D2,GER,Ingolstadt,Ingolstadt
D2,GER,Kaiserslautern,Kaiserslautern
D2,GER,Karlsruhe,Karlsruhe
D2,GER,Magdeburg,Magdeburg
D2,GER,Nurnberg,Nürnberg
D2,GER,Osnabruck,Osnabrück
D2,GER,Paderborn,Paderborn
D2,GER,PreuÃen MÃ¼nster,Münster
D2,GER,Regensburg,Regensburg
D2,GER,Sandhausen,Sandhausen
D2,GER,Schalke 04,Gelsenkirchen
D2,GER,St Pauli,Hamburg
D2,GER,Ulm,Ulm
D2,GER,Wehen,Wiesbaden
D2,GER,Werder Bremen,Bremen
E0,ENG,Arsenal,London
E0,ENG,Aston Villa,Birmingham
E0,ENG,Bournemouth,Bournemouth
E0,ENG,Brentford,London
E0,ENG,Brighton,Falmer
E0,ENG,Burnley,Burnley
E0,ENG,Chelsea,London
E0,ENG,Crystal Palace,London
E0,ENG,Everton,Liverpool
E0,ENG,Fulham,London
E0,ENG,Ipswich,Ipswich
E0,ENG,Leeds,Leeds
E0,ENG,Leicester,Leicester
E0,ENG,Liverpool,Liverpool
E0,ENG,Luton,Luton
E0,ENG,Man City,Manchester
E0,ENG,Man United,Manchester
E0,ENG,Newcastle,Newcastle upon Tyne
E0,ENG,Norwich,Norwich
E0,ENG,Nott'm Forest,West Bridgford
E0,ENG,Sheffield United,Sheffield
E0,ENG,Southampton,Southampton
E0,ENG,Tottenham,London
E0,ENG,Watford,Watford
E0,ENG,West Ham,London
E0,ENG,Wolves,Wolverhampton
E1,ENG,Barnsley,Barnsley
E1,ENG,Birmingham,Birmingham
E1,ENG,Blackburn,Blackburn
E1,ENG,Blackpool,Blackpool
E1,ENG,Bournemouth,Bournemouth
E1,ENG,Bristol City,Bristol
E1,ENG,Burnley,Burnley
E1,ENG,Cardiff,Cardiff
E1,ENG,Coventry,Coventry
E1,ENG,Derby,Derby
E1,ENG,Fulham,London
E1,ENG,Huddersfield,Huddersfield
E1,ENG,Hull,Hull
E1,ENG,Ipswich,Ipswich
E1,ENG,Leeds,Leeds
E1,ENG,Leicester,Leicester
E1,ENG,Luton,Luton
E1,ENG,Middlesbrough,Middlesbrough
E1,ENG,Millwall,London
E1,ENG,Norwich,Norwich
E1,ENG,Nott'm Forest,West Bridgford
E1,ENG,Oxford,Oxford
E1,ENG,Peterboro,Peterborough
E1,ENG,Plymouth,Plymouth
E1,ENG,Portsmouth,Portsmouth
E1,ENG,Preston,Preston
E1,ENG,QPR,London
E1,ENG,Reading,Reading
E1,ENG,Rotherham,Rotherham
E1,ENG,Sheffield United,Sheffield
E1,ENG,Sheffield Weds,Sheffield
E1,ENG,Southampton,Southampton
E1,ENG,Stoke,Stoke-on-Trent
E1,ENG,Sunderland,Sunderland
E1,ENG,Swansea,Swansea
E1,ENG,Watford,Watford
E1,ENG,West Brom,West Bromwich
E1,ENG,Wigan,Wigan
E2,ENG,AFC Wimbledon,London
E2,ENG,Accrington,Accrington
E2,ENG,Barnsley,Barnsley
E2,ENG,Birmingham,Birmingham
E2,ENG,Blackpool,Blackpool
E2,ENG,Bolton,Bolton
E2,ENG,Bristol Rvs,Bristol
E2,ENG,Burton,Burton upon Trent
E2,ENG,Cambridge,Cambridge
E2,ENG,Carlisle,Carlisle
E2,ENG,Charlton,London
E2,ENG,Cheltenham,Cheltenham
E2,ENG,Crawley Town,Crawley
E2,ENG,Crewe,Crewe
E2,ENG,Derby,Derby
E2,ENG,Doncaster,Doncaster
E2,ENG,Exeter,Exeter
E2,ENG,Fleetwood Town,Fleetwood
E2,ENG,Forest Green,Nailsworth
E2,ENG,Gillingham,Gillingham
E2,ENG,Huddersfield,Huddersfield
E2,ENG,Ipswich,Ipswich
E2,ENG,Leyton Orient,London
E2,ENG,Lincoln,Lincoln
E2,ENG,Mansfield,Mansfield
E2,ENG,Milton Keynes Dons,Milton Keynes
E2,ENG,Morecambe,Morecambe
E2,ENG,Northampton,Northampton
E2,ENG,Oxford,Oxford
E2,ENG,Peterboro,Peterborough
E2,ENG,Plymouth,Plymouth
E2,ENG,Port Vale,Stoke-on-Trent
E2,ENG,Portsmouth,Portsmouth
E2,ENG,Reading,Reading
E2,ENG,Rotherham,Rotherham
E2,ENG,Sheffield Weds,Sheffield
E2,ENG,Shrewsbury,Shrewsbury
E2,ENG,Stevenage,Stevenage
E2,ENG,Stockport,Stockport
E2,ENG,Sunderland,Sunderland
E2,ENG,Wigan,Wigan
E2,ENG,Wrexham,Wrexham
E2,ENG,Wycombe,High Wycombe
E3,ENG,AFC Wimbledon,London
E3,ENG,Accrington,Accrington
E3,ENG,Barrow,Barrow-in-Furness
E3,ENG,Bradford,Bradford
E3,ENG,Bristol Rvs,Bristol
E3,ENG,Bromley,London
E3,ENG,Carlisle,Carlisle
E3,ENG,Cheltenham,Cheltenham
E3,ENG,Chesterfield,Chesterfield
E3,ENG,Colchester,Colchester
E3,ENG,Crawley Town,Crawley
E3,ENG,Crewe,Crewe
E3,ENG,Doncaster,Doncaster
E3,ENG,Exeter,Exeter
E3,ENG,Fleetwood Town,Fleetwood
E3,ENG,Forest Green,Nailsworth
E3,ENG,Gillingham,Gillingham
E3,ENG,Grimsby,Cleethorpes
E3,ENG,Harrogate,Harrogate
E3,ENG,Hartlepool,Hartlepool
E3,ENG,Leyton Orient,London
E3,ENG,Mansfield,Mansfield
E3,ENG,Milton Keynes Dons,Milton Keynes
E3,ENG,Morecambe,Morecambe
E3,ENG,Newport County,Newport
E3,ENG,Northampton,Northampton
E3,ENG,Notts County,Nottingham
E3,ENG,Oldham,Oldham
E3,ENG,Port Vale,Stoke-on-Trent
E3,ENG,Rochdale,Rochdale
E3,ENG,Salford,Salford
E3,ENG,Scunthorpe,Scunthorpe
E3,ENG,Stevenage,Stevenage
E3,ENG,Stockport,Stockport
E3,ENG,Sutton,London
E3,ENG,Swindon,Swindon
E3,ENG,Tranmere,Birkenhead
E3,ENG,Walsall,Walsall
E3,ENG,Wrexham,Wrexham
EC,ENG,Aldershot,Aldershot
EC,ENG,Altrincham,Altrincham
EC,ENG,Barnet,London
EC,ENG,Boreham Wood,Borehamwood
EC,ENG,Boston Utd,Boston
EC,ENG,Braintree Town,Braintree
EC,ENG,Bromley,London
EC,ENG,Chesterfield,Chesterfield
EC,ENG,Dag and Red,London
EC,ENG,Dorking,Dorking
EC,ENG,Dover Athletic,Dover
EC,ENG,Eastleigh,Eastleigh
EC,ENG,Ebbsfleet,Northfleet
EC,ENG,Forest Green,Nailsworth
EC,ENG,Fylde,Wesham
EC,ENG,Gateshead,Gateshead
EC,ENG,Grimsby,Cleethorpes
EC,ENG,Halifax,Halifax
EC,ENG,Hartlepool,Hartlepool
EC,ENG,Kidderminster,Kidderminster
EC,ENG,Kings Lynn,King's Lynn
EC,ENG,Maidenhead,Maidenhead
EC,ENG,Maidstone,Maidstone
EC,ENG,Notts County,Nottingham
EC,ENG,Oldham,Oldham
EC,ENG,Oxford City,Oxford
EC,ENG,Rochdale,Rochdale
EC,ENG,Scunthorpe,Scunthorpe
EC,ENG,Solihull,Solihull
EC,ENG,Southend,Southend-on-Sea
EC,ENG,Stockport,Stockport
EC,ENG,Sutton,London
EC,ENG,Tamworth,Tamworth
EC,ENG,Torquay,Torquay
EC,ENG,Wealdstone,London
EC,ENG,Weymouth,Weymouth
EC,ENG,Woking,Woking
EC,ENG,Wrexham,Wrexham
EC,ENG,Yeovil,Yeovil
EC,ENG,York,York
F1,FRA,Ajaccio,Ajaccio
F1,FRA,Angers,Angers
F1,FRA,Auxerre,Auxerre
F1,FRA,Bordeaux,Bordeaux
F1,FRA,Brest,Brest
F1,FRA,Clermont,Clermont
F1,FRA,Le Havre,Le Havre
F1,FRA,Lens,Lens
F1,FRA,Lille,Lille
F1,FRA,Lorient,Lorient
F1,FRA,Lyon,Lyon
F1,FRA,Marseille,Marseille
F1,FRA,Metz,Metz
F1,FRA,Monaco,Monaco
F1,FRA,Montpellier,Montpellier
F1,FRA,Nantes,Nantes
F1,FRA,Nice,Nice
F1,FRA,Paris SG,Paris
F1,FRA,Reims,Reims
F1,FRA,Rennes,Rennes
F1,FRA,St Etienne,Saint-Étienne
F1,FRA,Strasbourg,Strasbourg
F1,FRA,Toulouse,Toulouse
F1,FRA,Troyes,Troyes
F2,FRA,Ajaccio,Ajaccio
F2,FRA,Amiens,Amiens
F2,FRA,Angers,Angers
F2,FRA,Annecy,Annecy
F2,FRA,Auxerre,Auxerre
F2,FRA,Bastia,Bastia
F2,FRA,Bordeaux,Bordeaux
F2,FRA,Caen,Caen
F2,FRA,Clermont,Clermont
F2,FRA,Concarneau,Concarneau
F2,FRA,Dijon,Dijon
F2,FRA,Dunkerque,Dunkerque
F2,FRA,Grenoble,Grenoble
F2,FRA,Guingamp,Guingamp
F2,FRA,Laval,Laval
F2,FRA,Le Havre,Le Havre
F2,FRA,Lorient,Lorient
F2,FRA,Martigues,Martigues
F2,FRA,Metz,Metz
F2,FRA,Nancy,Nancy
F2,FRA,Nimes,Nîmes
F2,FRA,Niort,Niort
F2,FRA,Paris FC,Paris
F2,FRA,Pau FC,Pau
F2,FRA,Quevilly Rouen,Petit-Quevilly
F2,FRA,Red Star,Saint-Ouen
F2,FRA,Rodez,Rodez
F2,FRA,Sochaux,Montbéliard
F2,FRA,St Etienne,Saint-Étienne
F2,FRA,Toulouse,Toulouse
F2,FRA,Troyes,Troyes
F2,FRA,Valenciennes,Valenciennes
G1,GRE,AEK,Athens
G1,GRE,Apollon,Athens
G1,GRE,Aris,Thessaloniki
G1,GRE,Asteras Tripolis,Tripoli
G1,GRE,Athens Kallithea,Kallithea
G1,GRE,Atromitos,Athens
G1,GRE,Giannina,Ioannina
G1,GRE,Ionikos,Nikaia
G1,GRE,Kifisia,Athens
G1,GRE,Lamia,Lamia
G1,GRE,Levadeiakos,Livadeia
G1,GRE,OFI Crete,Heraklion
G1,GRE,Olympiakos,Piraeus
G1,GRE,PAOK,Thessaloniki
G1,GRE,Panathinaikos,Athens
G1,GRE,Panetolikos,Agrinio
G1,GRE,Panserraikos,Serres
G1,GRE,Volos NFC,Volos
I1,ITA,Atalanta,Bergamo
I1,ITA,Bologna,Bologna
I1,ITA,Cagliari,Cagliari
I1,ITA,Como,Como
I1,ITA,Cremonese,Cremona
I1,ITA,Empoli,Empoli
I1,ITA,Fiorentina,Firenze
I1,ITA,Frosinone,Frosinone
I1,ITA,Genoa,Genova
I1,ITA,Inter,Milano
I1,ITA,Juventus,Torino
I1,ITA,Lazio,Roma
I1,ITA,Lecce,Lecce
I1,ITA,Milan,Milano
I1,ITA,Monza,Monza
I1,ITA,Napoli,Napoli
I1,ITA,Parma,Parma
I1,ITA,Roma,Roma
I1,ITA,Salernitana,Salerno
I1,ITA,Sampdoria,Genova
I1,ITA,Sassuolo,Sassuolo
I1,ITA,Spezia,La Spezia
I1,ITA,Torino,Torino
I1,ITA,Udinese,Udine
I1,ITA,Venezia,Venezia
I1,ITA,Verona,Verona
I2,ITA,Alessandria,Alessandria
I2,ITA,Ascoli,Ascoli Piceno
I2,ITA,Bari,Bari
I2,ITA,Benevento,Benevento
I2,ITA,Brescia,Brescia
I2,ITA,Cagliari,Cagliari
I2,ITA,Carrarese,Carrara
I2,ITA,Catanzaro,Catanzaro
I2,ITA,Cesena,Cesena
I2,ITA,Cittadella,Cittadella
I2,ITA,Como,Como
I2,ITA,Cosenza,Cosenza
I2,ITA,Cremonese,Cremona
I2,ITA,Crotone,Crotone
I2,ITA,FeralpiSalo,Salò
I2,ITA,Frosinone,Frosinone
I2,ITA,Genoa,Genova
I2,ITA,Juve Stabia,Castellammare di Stabia
I2,ITA,Lecce,Lecce
I2,ITA,Lecco,Lecco
I2,ITA,Mantova,Mantova
I2,ITA,Modena,Modena
I2,ITA,Monza,Monza
I2,ITA,Palermo,Palermo
I2,ITA,Parma,Parma
I2,ITA,Perugia,Perugia
I2,ITA,Pisa,Pisa
I2,ITA,Pordenone,Pordenone
I2,ITA,Reggiana,Reggio Emilia
I2,ITA,Reggina,Reggio Calabria
I2,ITA,Salernitana,Salerno
I2,ITA,Sampdoria,Genova
I2,ITA,Sassuolo,Sassuolo
I2,ITA,Spal,Ferrara
I2,ITA,Spezia,La Spezia
I2,ITA,Sudtirol,Bolzano
I2,ITA,Ternana,Terni
I2,ITA,Venezia,Venezia
I2,ITA,Vicenza,Vicenza
N1,NED,AZ Alkmaar,Alkmaar
N1,NED,Ajax,Amsterdam
N1,NED,Almere City,Almere
